game_id,game_date,away,home,home_win,state_policy,performance_cutoff,elo_diff,elo_probability_raw,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,home_rest_days,away_rest_days,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage,home_games_before,away_games_before
0022500118,2025-10-27,TOR,SAS,1,sequential_daily,2025-10-26,0.2949392841003828,0.6635428870972718,0.6712220188058184,-0.08287575497761224,0.7419373447293772,14.666666666666666,14.749542421644279,-3.333333333333333,14.0,2.3333333333333335,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0
0022500119,2025-10-27,OKC,DAL,0,sequential_daily,2025-10-26,0.04798537864624734,0.5275945369518308,0.10097678552576583,-0.2767406172067659,-0.7419373447293772,-19.0,-18.723259382793234,-8.666666666666668,2.666666666666666,-0.3333333333333335,-1.0,1.0,2.0,-1.0,-1.0,-1.0,3.0,3.0
0022500120,2025-10-27,PHX,UTA,1,sequential_daily,2025-10-26,0.2607866175986788,0.645766887737404,0.4644690406190284,-0.06006326181399757,0.1823215567939546,25.0,25.060063261813998,-0.5,15.166666666666666,5.333333333333333,1.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0
0022500121,2025-10-27,MEM,GSW,1,sequential_daily,2025-10-26,0.21091375984875071,0.619080413537639,0.47197783901664153,0.2796056670562698,0.0,-1.0,-1.2796056670562699,-2.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0
0022500122,2025-10-27,POR,LAL,0,sequential_daily,2025-10-26,0.2256126225607659,0.6270290324075983,0.5415044639880482,-0.28128512253913396,0.364643113587909,2.0,2.281285122539134,-6.333333333333334,4.0,3.9999999999999996,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0
0022500123,2025-10-28,PHI,WAS,0,sequential_daily,2025-10-27,0.09811600910446032,0.5562411058061176,0.11898605861303307,0.2735116487244822,-0.7419373447293772,-15.333333333333332,-15.606844982057815,-3.0,-1.0,-4.666666666666666,1.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0
0022500124,2025-10-28,CHA,MIA,1,sequential_daily,2025-10-27,0.18479912890932668,0.6048023568083538,0.3594245921764642,-0.1366750640386556,0.0,-1.666666666666666,-1.5299916026280105,-1.6666666666666665,-7.666666666666667,-6.333333333333333,0.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0
0022500125,2025-10-28,NYK,MIL,1,sequential_daily,2025-10-27,0.2022226268321282,0.6143500545105862,0.3799601421287289,0.019691052718940227,0.0,1.3333333333333335,1.3136422806143933,1.3333333333333333,-15.333333333333334,-4.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0
0022500126,2025-10-28,SAC,OKC,1,sequential_daily,2025-10-27,0.3337080726024675,0.6831727825091324,0.7097027913137874,-0.1413420067401696,0.8754687373538997,11.083333333333334,11.224675340073503,-0.4166666666666665,9.833333333333334,2.9166666666666665,-1.0,1.0,2.0,-1.0,-1.0,-1.0,4.0,3.0
0022500127,2025-10-28,LAC,GSW,1,sequential_daily,2025-10-27,0.20771114080135078,0.6173398859709113,0.4383287622757999,0.2585358081427054,0.1541506798272586,-2.083333333333333,-2.3418691414760384,2.6666666666666665,0.6666666666666667,0.75,-1.0,1.0,2.0,-1.0,0.0,-1.0,4.0,3.0
0022500128,2025-10-29,CLE,BOS,1,sequential_daily,2025-10-28,0.11454546772308731,0.5655580690616411,0.17709689011851565,-0.02083366865047509,-0.6729444732424257,-2.5,-2.479166331349525,1.0,-7.25,-9.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0
0022500129,2025-10-29,ORL,DET,1,sequential_daily,2025-10-28,0.23747880213135716,0.633396366222999,0.5853868393416016,-0.044396159916157085,0.33647223662121273,2.25,2.294396159916157,0.5,0.5,-5.5,0.0,2.0,2.0,0.0,-1.0,0.0,4.0,4.0
0022500130,2025-10-29,ATL,BKN,0,sequential_daily,2025-10-28,0.15376613684309062,0.587601677464883,0.33378679403464573,0.17898923948370005,-0.35667494393873267,-6.75,-6.9289892394837,-5.25,0.5,-9.5,0.0,2.0,2.0,0.0,-1.0,0.0,4.0,4.0
0022500131,2025-10-29,HOU,TOR,0,sequential_daily,2025-10-28,0.1524968532406882,0.5868932666680142,0.41323973632757427,0.8464228142757269,-0.15415067982725814,-11.166666666666668,-12.013089480942394,4.166666666666667,-11.5,-6.0,0.0,2.0,2.0,0.0,-1.0,-1.0,4.0,3.0
