replicate,log_loss,brier,auc,accuracy,games,home_win_rate,mean_probability,correct_games,expected_calibration_error,min_predicted_probability,max_predicted_probability,mean_predicted_probability,observed_home_win_rate,calibration_intercept_alpha,calibration_slope_gamma,delta_log_loss_vs_elo,delta_brier_vs_elo,delta_auc_vs_elo,delta_accuracy_vs_elo,delta_log_loss_vs_rank,delta_brier_vs_rank,delta_auc_vs_rank,delta_accuracy_vs_rank
161,0.45654924733475377,0.14483379034504398,0.892931392931393,0.8089887640449438,89,0.5842696629213483,0.5258336562306725,72,0.16492930870624473,0.12958208255420636,0.9690462970709675,0.5258336562306725,0.5842696629213483,0.4846367623129863,1.8731163800211306,0.004232270799279847,0.001537764103665712,0.0,0.0,-0.03203192039756697,-0.011219910233272096,-1.1102230246251565e-16,-0.022471910112359605
162,0.5106015219741497,0.16728305110077574,0.843013468013468,0.7551020408163265,98,0.5510204081632653,0.5056872191657359,74,0.12724705616956916,0.11618154536081363,0.9690462970709675,0.5056872191657359,0.5510204081632653,0.30670209123166015,1.5236415837056656,0.0026372841490410748,0.0010572988277565976,0.0,0.0,-0.014440618802608718,-0.004372500366006726,-0.007154882154882136,-0.05102040816326536
163,0.4542086863643936,0.14537714301643895,0.8661202185792349,0.8041237113402062,97,0.6288659793814433,0.5961556564111026,78,0.1164534673912401,0.06816437655118983,0.9328529855673348,0.5961556564111026,0.6288659793814433,0.1043251200594889,1.3916093961837173,0.003380359526475918,0.0008669661978264187,0.0,0.0,-0.027213719301522832,-0.009450261965177342,0.022768670309653904,0.010309278350515538
164,0.4994245046730049,0.16265472852512278,0.842455621301775,0.7884615384615384,104,0.5,0.551637175624771,82,0.10601042488659315,0.06816437655118983,0.9690462970709675,0.551637175624771,0.5,-0.33314697507962354,1.0750793397644085,0.0004646460241260475,0.00039857231120579706,0.0,0.0,-0.04288195967004571,-0.018088621756615464,0.0351331360946745,0.019230769230769162
165,0.45182959564587927,0.14496677974723152,0.871292372881356,0.7802197802197802,91,0.6483516483516484,0.5945671048447635,71,0.12592184930142414,0.06816437655118983,0.9690462970709675,0.5945671048447635,0.6483516483516484,0.26840877751265696,1.4290406403407363,0.0033578301928240406,0.0008780415370638617,0.0,0.0,-0.028639981357941713,-0.0099626625046782,0.009533898305084776,0.0
166,0.459147665190131,0.1457493596267385,0.8911381016644173,0.8125,96,0.59375,0.5177436157046844,78,0.13850938147297934,0.12958208255420636,0.9690462970709675,0.5177436157046844,0.59375,0.6335495172398685,2.043807818577033,0.004510811598897324,0.0015370527902336673,0.0,0.0,-0.027943691954754768,-0.009433488386405509,-0.007647323436797304,-0.02083333333333337
167,0.49469131121988863,0.16295391143888943,0.8346883468834689,0.7596153846153846,104,0.6057692307692307,0.5731484994997079,79,0.11467808955142114,0.06816437655118983,0.9690462970709675,0.5731484994997079,0.6057692307692307,0.15927886568159694,1.1911457535604122,0.0015698652872185304,0.0003695844009954652,0.0,0.0,-0.02143352566959189,-0.007468300380272325,0.01819589624467688,-0.009615384615384692
168,0.4247708549469764,0.13108518109614972,0.8925049309664694,0.8351648351648352,91,0.5714285714285714,0.5632499856716293,76,0.11603042326469837,0.06816437655118983,0.9328529855673348,0.5632499856716293,0.5714285714285714,-0.03178071226088072,1.5252131954996735,0.004684218128845785,0.0014024313282700873,0.0,0.0,-0.037460330204950765,-0.013487915040065496,0.01429980276134124,0.010989010989011061
169,0.4469192755383831,0.1446272763412451,0.8837760910815939,0.7604166666666666,96,0.6458333333333334,0.5626795177171361,73,0.13543666478872118,0.06816437655118983,0.9690462970709675,0.5626795177171361,0.6458333333333334,0.5942916179165157,1.489792153096421,0.002656076458120049,0.00047555602182053347,0.0,0.0,-0.02781498693141521,-0.008163964382904343,0.005218216318785718,-0.01041666666666674
170,0.42219405172178925,0.13075807240688928,0.9179310344827585,0.8354430379746836,79,0.6329113924050633,0.5454388987112239,66,0.14673906556562152,0.12958208255420636,0.9690462970709675,0.5454388987112239,0.6329113924050633,0.7874756103927051,2.2530000029196153,0.0055296530537617405,0.0016598459135045984,0.0,0.0,-0.03203774681466681,-0.010404176002456689,-0.0034482758620690834,-0.012658227848101222
171,0.4408717022746591,0.14167484245380463,0.8896769109535066,0.7722772277227723,101,0.5346534653465347,0.5644548745060309,78,0.15796540148257437,0.06816437655118983,0.9328529855673348,0.5644548745060309,0.5346534653465347,-0.2465075881409857,1.176881962977799,0.001926127902162289,0.00013195399614296388,0.0,0.0,-0.03406403089937088,-0.010616559262750958,0.01733648542159172,0.01980198019801982
172,0.4600776472541739,0.14689070162972404,0.8626373626373627,0.8,95,0.5894736842105263,0.5737319904881776,76,0.09489380704640386,0.06816437655118983,0.9690462970709675,0.5737319904881776,0.5894736842105263,0.03038824003410371,1.3409747222516615,0.0030403946539490634,0.0009431095296157654,0.0,0.0,-0.03563206412120323,-0.013745095010994968,0.01968864468864473,0.010526315789473717
173,0.4591441492672716,0.1465161158487835,0.8723037100949094,0.797979797979798,99,0.6161616161616161,0.5653709008806699,79,0.12225793415238685,0.06816437655118983,0.9690462970709675,0.5653709008806699,0.6161616161616161,0.27675334955795633,1.500122525457785,0.0035822680671256935,0.0010935394500103945,0.0,0.0,-0.02695941105129196,-0.009450050967449719,0.009490940465918918,-0.010101010101010055
174,0.4681713172018669,0.15274191611265964,0.8471317829457364,0.7542372881355932,118,0.635593220338983,0.5881425800188665,89,0.1168947769651769,0.06816437655118983,0.9690462970709675,0.5881425800188665,0.635593220338983,0.25269207978158154,1.2482892473848441,0.002080039238057496,0.00045396501163524894,0.0,0.0,-0.029283335874985605,-0.01047990864062276,0.012403100775193687,0.0
175,0.482779288563583,0.1547604925505741,0.8613333333333333,0.8,95,0.5263157894736842,0.5438724173384442,76,0.10796658467643028,0.06816437655118983,0.9690462970709675,0.5438724173384442,0.5263157894736842,-0.1459457406343042,1.3102076841848533,0.002733637644540654,0.0011538485545028732,0.0,0.0,-0.03305438055662269,-0.013148334628860059,0.026222222222222258,-0.010526315789473606
176,0.46863825477105386,0.15094353668514343,0.8587270973963357,0.7894736842105263,95,0.6421052631578947,0.5936658998499831,75,0.1356298226076656,0.06816437655118983,0.9690462970709675,0.5936658998499831,0.6421052631578947,0.22480786965687935,1.361117595945092,0.0028533344944461914,0.0009472187506006646,0.0,0.0,-0.032316935425630355,-0.012753075666444486,0.022179363548698316,0.0
177,0.465708680627798,0.15074719727245325,0.8636363636363636,0.7849462365591398,93,0.5913978494623656,0.5719300475876182,73,0.10273861334278171,0.06816437655118983,0.9328529855673348,0.5719300475876182,0.5913978494623656,0.06278356834412228,1.3310633975680646,0.002897993184525882,0.0006673760017713304,0.0,0.0,-0.024509916360332784,-0.007733809280377146,0.008612440191387516,0.010752688172043001
178,0.4716385958413054,0.1516485934463437,0.8582145536384096,0.780952380952381,105,0.5904761904761905,0.5545999705502747,82,0.11887928303144432,0.06816437655118983,0.9542478662684957,0.5545999705502747,0.5904761904761905,0.18163122627501338,1.3876752144271507,0.0030589745476046204,0.0008775964215395615,0.0,0.0,-0.021985419972468945,-0.007349109931287401,0.0075018754688671585,-0.01904761904761909
179,0.4484906658826693,0.14510857700688173,0.8486842105263157,0.7631578947368421,114,0.6666666666666666,0.628609977874195,87,0.12068469030074482,0.06816437655118983,0.9690462970709675,0.628609977874195,0.6666666666666666,0.16239473888115885,1.2303996716819146,0.002353781584422676,0.0003964748423228859,0.0,0.0,-0.0328458949986819,-0.01199273192744535,0.016274238227146798,0.01754385964912286
180,0.490230889371631,0.1623462728080096,0.8322368421052632,0.7303370786516854,89,0.6404494382022472,0.576829328566134,65,0.10144125731164427,0.06816437655118983,0.9542478662684957,0.576829328566134,0.6404494382022472,0.34086149594618415,1.2851646191201638,0.0020203588630622327,0.0002958173131374642,0.0,0.0,-0.012683301128327662,-0.0027989709767605175,-0.0027412280701754055,-0.022471910112359494
181,0.4421069597632113,0.1396156983350389,0.9012474012474012,0.8089887640449438,89,0.5842696629213483,0.521416779476267,72,0.13655609783027248,0.12958208255420636,0.9690462970709675,0.521416779476267,0.5842696629213483,0.5732889873517708,1.9986373268211883,0.004716711174461208,0.0014835266247153756,0.0,0.0,-0.029558192901098013,-0.00914333681731025,-0.0010395010395012338,-0.022471910112359605
182,0.37650690474786785,0.10892017352328755,0.9394792399718508,0.8846153846153846,78,0.6282051282051282,0.5632804379044679,69,0.17417858239667655,0.11618154536081363,0.9261234339430072,0.5632804379044679,0.6282051282051282,0.5133547850138352,2.2616965898319514,0.007474790754534055,0.0023791665847185395,0.0,0.0,-0.04570362777776027,-0.016980524385411658,0.009148486980999349,0.0
183,0.46307644758011857,0.1490290986052933,0.8604323308270676,0.7872340425531915,94,0.5957446808510638,0.5675111549899066,74,0.08336310959872334,0.06816437655118983,0.9690462970709675,0.5675111549899066,0.5957446808510638,0.15246841749715564,1.2245741262380212,0.002076697233943381,0.0004929809340813995,0.0,0.0,-0.03157975205310115,-0.011354700479015017,0.018327067669172803,0.0
184,0.46059159571275926,0.14697911430515093,0.881578947368421,0.8020833333333334,96,0.6041666666666666,0.5256256632756614,77,0.14190025249495497,0.12958208255420636,0.9690462970709675,0.5256256632756614,0.6041666666666666,0.6153464416768204,1.7689918465144185,0.0035845387485151647,0.0012426218892675478,0.0,0.0,-0.0330499090667381,-0.011894252281021728,0.007713248638838488,-0.02083333333333326
185,0.46571677277332246,0.15036338471719066,0.866403162055336,0.7722772277227723,101,0.5445544554455446,0.5343203135037002,78,0.09666674080329199,0.06816437655118983,0.9690462970709675,0.5343203135037002,0.5445544554455446,0.06022533216096847,1.2613001623508102,0.0023927937237370744,0.0005884352376880342,0.0,0.0,-0.028598395927758757,-0.009265445949023232,0.014229249011857736,-0.00990099009900991
186,0.39089860422801687,0.1203308531057567,0.9291891891891891,0.8160919540229885,87,0.5747126436781609,0.521511927861254,71,0.15118831261290533,0.11618154536081363,0.9261234339430072,0.521511927861254,0.5747126436781609,0.6688357170861404,1.9658346342004982,0.0053930969430396325,0.0011443743741280654,0.0,0.0,-0.03213052148144002,-0.007587844177314423,-0.006486486486486531,0.0
187,0.42768644807276573,0.13477745033042537,0.8992740471869328,0.7916666666666666,96,0.6041666666666666,0.56840119358339,76,0.14327456846213882,0.06816437655118983,0.9690462970709675,0.56840119358339,0.6041666666666666,0.21004948951470095,1.5347857729765322,0.0041734925791345745,0.0010805411702607126,0.0,0.0,-0.029568446008334748,-0.008966713397134035,0.012250453720508148,-0.01041666666666674
188,0.47765941296975994,0.15503223848390024,0.8441558441558442,0.7604166666666666,96,0.65625,0.5927850662340356,73,0.14455899785327542,0.06816437655118983,0.9690462970709675,0.5927850662340356,0.65625,0.3061273818355732,1.4058630636396814,0.0029067923134506457,0.0008731317903902802,0.0,0.0,-0.0218025912596006,-0.008020630600854423,0.00721500721500723,-0.02083333333333337
189,0.46149033753782476,0.14832369279018354,0.8762755102040816,0.7755102040816326,98,0.5714285714285714,0.5347681551638049,76,0.11370117409356724,0.06816437655118983,0.9542478662684957,0.5347681551638049,0.5714285714285714,0.23218121099872668,1.5589342449453583,0.0038402200755942584,0.001023198063906633,0.0,0.0,-0.01942395965047844,-0.004918122372584599,-0.003826530612245027,-0.020408163265306145
190,0.5040479525195944,0.16726365164099496,0.8310502283105022,0.7457627118644068,118,0.6186440677966102,0.533915930216984,88,0.12598296073847476,0.06816437655118983,0.9542478662684957,0.533915930216984,0.6186440677966102,0.508103305125228,1.3522640554624252,0.0016483132166403847,0.00023897274318845918,0.0,0.0,-0.011071335497972568,-0.0021979846973286254,-0.011263318112633258,-0.025423728813559365
191,0.4634484665232812,0.15059423727595464,0.8797653958944283,0.7733333333333333,75,0.5866666666666667,0.5162455413988917,58,0.1547216254331065,0.11618154536081363,0.9542478662684957,0.5162455413988917,0.5866666666666667,0.5789999731339174,1.6011198013599761,0.0029377051830524192,0.0004841517659783523,0.0,0.0,-0.01624604619328407,-0.002279563726045708,-0.020527859237536528,-0.013333333333333308
192,0.44938774274823534,0.14296091715585374,0.8951612903225805,0.8,95,0.6736842105263158,0.5544656968519663,76,0.1567692597039816,0.1603105890067705,0.9690462970709675,0.5544656968519663,0.6736842105263158,0.9168297850598905,1.855899463733673,0.0035426929086925796,0.001025437244619426,0.0,0.0,-0.030799646499446498,-0.010951404834610767,0.010080645161290258,-0.021052631578947323
193,0.4751017171147857,0.15660944419615927,0.8727598566308243,0.7346938775510204,98,0.6326530612244898,0.5326087108302973,72,0.15856959731076115,0.11618154536081363,0.9542478662684957,0.5326087108302973,0.6326530612244898,0.7234768616493903,1.5595225766014367,0.0021670465603315647,0.00016195374815292096,0.0,0.0,-0.00878662403250241,0.0006079442178283656,-0.010752688172043001,-0.04081632653061218
194,0.4645981096669995,0.14759223767399235,0.8638447971781306,0.8055555555555556,108,0.5833333333333334,0.5484707027454013,87,0.12526665699959963,0.06816437655118983,0.9542478662684957,0.5484707027454013,0.5833333333333334,0.1698277874198719,1.47466635430173,0.0036791749556900344,0.0011774204228091056,0.0,0.0,-0.027404279772774987,-0.01010260002980376,0.010229276895943551,-0.00925925925925919
195,0.4881144010777048,0.15931833784498928,0.8494753833736884,0.7524752475247525,101,0.5841584158415841,0.5357046656042974,76,0.1135735488942676,0.06816437655118983,0.9690462970709675,0.5357046656042974,0.5841584158415841,0.29233888430193594,1.3833392133164826,0.0024675630283825245,0.0007144429498177896,0.0,0.0,-0.019373537722797984,-0.006061005592060159,0.001210653753026536,-0.02970297029702973
196,0.4534188189652444,0.14235059235146336,0.8832980972515856,0.826530612244898,98,0.5612244897959183,0.5432951177202042,81,0.11463862256996778,0.06816437655118983,0.9690462970709675,0.5432951177202042,0.5612244897959183,0.0756130561406777,1.5440088637424394,0.004165398853769542,0.0015505996269477573,0.0,0.0,-0.03903049296888761,-0.01530018356430149,0.02283298097251585,0.0
197,0.4827149876074866,0.15265834880668966,0.868421052631579,0.821917808219178,73,0.4794520547945205,0.4999834735221564,60,0.11839954746171985,0.11618154536081363,0.8896677002969572,0.4999834735221564,0.4794520547945205,-0.1315778698894694,1.5820631940129315,0.004513463295722386,0.0017586850497607887,0.0,0.0,-0.023099230418951178,-0.008193186249523282,0.003007518796992459,-0.0273972602739726
198,0.4815752547526733,0.15721074784473654,0.8629994810586403,0.75,88,0.5340909090909091,0.5295640831011655,66,0.1246452881953214,0.06816437655118983,0.9690462970709675,0.5295640831011655,0.5340909090909091,0.034644507067072304,1.2673680893190624,0.0022444368673876225,0.0006806982683294771,0.0,0.0,-0.02457151731265078,-0.0075356627373541485,0.008822003113648003,-0.022727272727272707
199,0.47945663328693333,0.15513877484950533,0.8567099567099568,0.7835051546391752,97,0.5670103092783505,0.5229065673710822,76,0.09532925641834013,0.11618154536081363,0.9690462970709675,0.5229065673710822,0.5670103092783505,0.2936889630647835,1.3591624739396524,0.0024326488893220977,0.000699727815720419,0.0,0.0,-0.023691678761771473,-0.007642527567630314,0.0051948051948051965,-0.020618556701030966
