candidate,model_type,architecture,elo_k,elo_hfa,trend_half_life_days,feature_set,n_features,logistic_c,prequential_games,prequential_log_loss,prequential_brier,prequential_auc,prequential_accuracy
k30_hfa80_hl20|core_schedule|C0.3,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,core_schedule,5,0.3,399,0.6465266033074828,0.2275311972409143,0.67262384212646,0.631578947368421
k30_hfa50_hl20|elo_bt_trend|C10.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,elo_bt_trend,3,10.0,399,0.6465553543540139,0.22736640464243016,0.674335481272654,0.6365914786967418
k30_hfa80_hl45|elo_bt_trend|C10.0,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,elo_bt_trend,3,10.0,399,0.6465716149829963,0.22738794388816416,0.6748137333870319,0.6441102756892231
k20_hfa80_hl45|core_schedule|C3.0,direct_logistic,k20_hfa80_hl45,20.0,80.0,45.0,core_schedule,5,3.0,399,0.6466207259765617,0.2275142496621554,0.6730265807490939,0.6365914786967418
k30_hfa65_hl20|elo_bt_trend|C10.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,elo_bt_trend,3,10.0,399,0.6466276896299884,0.2274017390737989,0.6750654450261782,0.6416040100250626
k20_hfa80_hl20|core_schedule|C3.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,core_schedule,5,3.0,399,0.6466603720269507,0.2275238676759656,0.6733034635521546,0.6365914786967418
k30_hfa80_hl20|elo_bt_trend|C10.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,elo_bt_trend,3,10.0,399,0.6466766144230386,0.22742449237165396,0.6748137333870318,0.6340852130325815
k20_hfa65_hl45|core_schedule|C3.0,direct_logistic,k20_hfa65_hl45,20.0,65.0,45.0,core_schedule,5,3.0,399,0.6467262542153053,0.22756278230325208,0.6727748691099477,0.631578947368421
k20_hfa65_hl20|core_schedule|C3.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,core_schedule,5,3.0,399,0.6467839667807613,0.2275804897302086,0.6724979863068868,0.6290726817042607
k20_hfa50_hl45|core_schedule|C3.0,direct_logistic,k20_hfa50_hl45,20.0,50.0,45.0,core_schedule,5,3.0,399,0.6468018142812522,0.2275943389604348,0.6729762384212646,0.6265664160401002
k20_hfa50_hl20|core_schedule|C3.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,core_schedule,5,3.0,399,0.6468726167605551,0.22761772154077198,0.6725734997986307,0.6240601503759399
